ward,gps_height_s
ilunda,1519.825
ilunde,1152.375
ilungu,1711.0
image,1424.0535714285713
imalamakoye,1233.0
imalaseko,44.472300281011634
imalinyi,1904.218253968254
imesela,44.472300281011634
iniho,2145.24
inyala,1711.0
inyonga,1167.595238095238
ipala,1120.0
ipande,204.50825736556985
ipelele,2354.5384615384614
ipepo,1808.1162790697674
ipera,1120.0
ipililo,44.4723002810116
ipinda,1711.0
ipole,1233.0
iponya,44.47230028101165
ipuli,1233.0
iragua,313.3
iramba,1157.857142857143
iringa mvumi,1120.0
irisya,1452.4
irole,1475.7169811320755
isagehe,44.47230028101166
isagenhe,1233.0
isaka,44.47230028101165
isakamaliwa,1233.0
isalavanu,1713.6666666666667
isale,1635.3548387096773
isandula,1711.0
isanga,44.47230028101166
isange,1711.0
isansa,1711.0
isanzu,1233.0
iselamagazi,44.47230028101165
iseni,141.93068987749842
isevya,1233.0
ishozi,1240.0
ishunju,1240.0
isikizya,1233.0
isingiro,1240.0
isongo,912.3478260869565
isongole,1711.0
isseke,1120.7777777777778
issenye,1286.695652173913
issuwa,1386.4074074074074
isuto,1711.0
itaba,1321.591836734694
itaka,1711.0
itandula,1636.2
itete,189.3347541158296
itetemia,1233.0
itewe,1711.0
itigi,1330.5217391304348
itilima,44.47230028101162
itilo,1233.0
itinje,44.47230028101165
itiso,1120.0
itobo,1233.0
itonjanda,1233.0
itumba,1574.4285714285713
itundu,1233.0
itunduru,1233.0
itunundu,711.9333333333333
itwangi,44.472300281011655
ivuna,1711.0
iwawa,2252.5185185185187
iwiji,1711.0
iwindi,1711.0
iwungilo,1856.5714285714287
iyogela,44.472300281011655
iyogwe,474.5347349177331
iyula,1711.0
iyunga mapinduzi,1711.0
izazi,691.9615384615385
izia,1876.0
izigo,1240.0
izimbya,1240.0
jaila,538.6325088339223
jamhuri,-7.533333333333333
jana,44.47230028101165
janda,1341.171875
jangalo,1120.0
jangwani,-31.928571428571427
jibondo,-43.0
jipe,732.695652173913
kaagya,1240.0
kabanga,1240.0
kabaragaine,1240.0
kabasa,1266.0833333333333
kabita,141.93068987749842
kabuku,372.375
kabula,1711.0
kabungu,1080.2916666666667
kabwe,766.0487804878048
kachwamba,1240.0
kadoto,44.47230028101166
kafita,141.9306898774984
kafule,1711.0
kafunzo,141.9306898774984
kagera nkanda,1113.2307692307693
kagoma,1240.0
kagondo,1240.0
kagongo,944.8938053097345
kagu,141.93068987749842
kagunga,141.9306898774984
kahama urban,44.47230028101163
kahamanhalaga,1233.0
kahangara,141.93068987749842
kahe,706.016393442623
kahe mashariki,712.4871794871794
kahororo,1240.0
kaibanja,1240.0
kainam,1852.6666666666667
kaisho,1240.0
kajunjumele,1711.0
kakesio,1641.0
kakola,1233.0
kakonko,1258.6
kakora,141.93068987749845
kakunyu,1240.0
kala,983.7272727272727
kalamba,1120.0
kalambazite,1690.9473684210527
kalangalala,141.93068987749834
kalebezo,141.93068987749845
kalemela,141.93068987749845
kalenga,1493.7826086956522
kalenge,1240.0
kalinzi,1490.8382352941176
kaliua,1233.0
kaloleni,1424.2
kalulu,726.7058823529412
kalunde,1233.0
kamachumu,1240.0
kambasegese,1711.0
kambikatoto,1711.0
kamena,141.9306898774984
kamhanga,141.9306898774984
kamsamba,1711.0
kamuli,1240.0
kanazi,1240.0
kandaga,1076.063829787234
kandawale,129.0
kandete,1711.0
kanga,252.1034013605441
kanindo,1233.0
kansay,1684.0
kanyangereko,1240.0
kanyelele,141.93068987749842
kanyenye,1233.0
kanyigo,1240.0
kapalala,1711.0
kapele,1711.0
kapilula,1233.0
karambi,1240.0
karanga,841.8571428571429
karatu,1503.15
karema,779.7083333333334
karenge,1169.0
karitu,1233.0
kasamwa,141.93068987749845
kasanda,1324.8666666666666
kasanga,1481.78125
kasela,1233.0
kaselya,1418.138888888889
kaseme,141.9306898774984
kasense,1835.142857142857
kasharu,1240.0
kasharunga,1240.0
kashasha,1240.0
kashaulili,1073.4545454545455
kashenye,1240.0
kashishi,1233.0
kasimbu,823.0
kasingirima,814.375
kasiriri,1678.0
kasokola,1150.2272727272727
kasoli,188.24214103653347
kasololo,141.93068987749845
kassambya,1240.0
kasuga,1292.5714285714287
kasungamile,141.93068987749842
katandala,1824.5
katangara mrere,1663.909090909091
katazi,1748.875
kate,1685.2307692307693
katende,1240.0
katerero,1240.0
katoma,1240.0
katoro,690.9653449387495
katuma,1098.8
katumba,1142.5154528352598
katumbasongwe,1711.0
katunguru,141.93068987749845
katwe,141.93068987749845
kawajense,1095.0
kayanga,1240.0
kazaroho,1233.0
kazazi,1268.1842105263158
kazunzu,141.93068987749842
kebanchabancha,1371.5365853658536
kelamfua mokala,1306.0
kemambo,1269.0
keni  alleni,1164.8
keni mengeni,1458.4938271604938
kenyamonta,1278.9080459770114
kerenge,303.6190476190476
ketumbeine,1526.5294117647059
keza,1240.0
kharumwa,141.93068987749845
kiangara,312.2
kibada,7.166666666666667
kibaha,92.03448275862068
kibaigwa,1120.0
kibakwe,1120.0
kibamba,127.55555555555556
kibanga,1240.0
kibaoni,339.2040816326531
kibara,1158.391304347826
kibasuka,1327.0
kibati,761.7083333333334
kibaya,1533.4285714285713
kibedya,1181.157894736842
kibengu,1918.2916666666667
kiberege,287.85
kibeta,1240.0
kibimba,1240.0
kibindu,363.92
kibingo,1240.0
kibirizi,1240.0
kibiti,151.05084745762713
kibondo,1240.0
kibondo urban,1439.409090909091
kiboriloni,840.6
kibosho kati,1398.2592592592594
kibosho magharibi,1333.0121951219512
kibosho mashariki,1383.0588235294117
kibuta,235.94117647058823
kibutuka,245.0
kichangani,331.47058823529414
kicheba,185.82758620689654
kidaru,1084.8
kidatu,253.05263157894737
kidegembye,1672.2745098039215
kidete,742.9444444444445
kidodi,320.36708860759495
kidodoma,596.9629629629629
kidugalo,179.625
kiegeani,-22.545454545454547
kiegei,409.14285714285717
kifanya,1666.5568181818182
kifula,1353.5714285714287
kighare,1362.2432432432433
kigombe,-17.82758620689655
kigondo,1282.0
kigongo,1240.0
kigonsera,967.0555555555555
kigunga,1265.75
kigwe,1120.0
kihagara,523.8913043478261
kihanga,1240.0
kihangimahuka,1182.0
kihonda,538.3913043478261
kihorogota,1217.642857142857
kihurio,502.4864864864865
kijima,141.9306898774984
kijungu,1279.2
kikatiti,1182.7910447761194
kikole,10.76923076923077
kikombo,1120.0
kikomero,1240.0
kikore,1120.0
kikubiji,141.9306898774984
kikunde,538.632508833922
kikwe,1046.904761904762
kilagano,1025.5384615384614
kilago,44.47230028101163
kilakala,545.6666666666666
kilangali,426.3181818181818
kilelema,1244.0
kilema  kati,1436.4545454545455
kilema kaskazini,1638.9473684210527
kilema kusini,991.7142857142857
kileo,703.6363636363636
kilima rondo,418.84
kilimani,1326.2
kilimatinde,1100.3142857142857
kilimilire,1240.0
kilindoni,-17.404255319148938
kilolambwani,16.1
kiloleli,522.4977590031182
kiloleni,1233.0
kiloli,1233.0
kilomeni,1530.0
kilosa,475.8809523809524
kilosa mpepo,321.92857142857144
kilulu,197.9
kiluvya,108.0
kimagai,1120.0
kimamba a,438.85714285714283
kimamba b,434.0
kimambi,350.0
kimandolu,1392.0
kimang'a,14.818181818181818
kimanzichana,40.6875
kimbe,538.6325088339223
kimbiji,-11.8
kimnyaki,1559.0379746835442
kimochi,1229.4807692307693
kimuli,1240.0
kimwani,1240.0
kinaga,44.47230028101164
kinamapula,44.47230028101163
kinampanda,1508.0
kinang'weli,188.24214103653347
kindi,1099.8510638297873
king'ori,1092.375
kingale,1120.0
kingerikiti,1396.0
kingolwira,470.6666666666667
kining'inila,1233.0
kinjumbi,-9.731707317073171
kinole,490.0769230769231
kintinku,851.5555555555555
kinungu,1233.0
kinyagiri,1365.923076923077
kinyala,1711.0
kinyerezi,62.88235294117647
kinyeto,1574.9782608695652
kiomboi,1531.34375
kiomoni,125.0
kipagalo,2089.6521739130435
kipande,1904.8620689655172
kipanga,1233.0
kipara mnero,308.0
kipatimu,307.06382978723406
kipeta,811.375
kipili,1233.0
kipumbwi,-1.35
kirando,763.1
kirangare,1487.608695652174
kiranjeranje,21.59259259259259
kiranyi,1388.104347826087
kirima,1124.1052631578948
kiroka,371.0217391304348
kiromba,112.47368421052632
kiromo,5.652742346938775
kirongo,1228.0
kirongo samanga,1318.125
kirongwe,1033.9605263157894
kirua vunjo kusini,921.295918367347
kirua vunjo magharibi,1539.3653846153845
kiruruma,1240.0
kirushya,1240.0
kirwa keni,1479.6
kirya,690.3333333333334
kisaka,1220.4285714285713
kisaki,183.07142857142858
kisale msangara,1267.04
kisanga,722.0166666666667
kisangasa,538.6325088339224
kisangura,1613.0
kisarawe,216.5
kisarawe ii,23.61764705882353
kisawasawa,300.6470588235294
kisegese,1711.0
kisemu,329.63793103448273
kisesa,87.04033251855753
kisese,1120.0
kishanda,1240.0
kishanje,1240.0
kishapu,44.472300281011655
kisiju,-1.4
kisiwani,726.6410256410256
kisondela,1711.0
kisongo,1368.2121212121212
kisorya,1150.7142857142858
kisuke,44.472300281011655
kisumwa,1195.6
kitagata,1223.888888888889
kitahana,1419.8837209302326
kitama,207.5
kitanda,985.3265306122449
kitanga,1211.6
kitangari,473.4761904761905
kitangili,44.472300281011634
kitaya,-5.2727272727272725
kitembe,1366.0
kitendaguru,1240.0
kitere,34.23529411764706
kitete,1233.0
kitirima kingachi,1420.375
kitobo,1240.0
kitomanga,83.55555555555556
kitomondo,25.0
kitongo sima,141.93068987749845
kitongoni,827.4
kitulo,2409.185185185185
kitunda,18.41117231672693
kituntu,1240.0
kitura,1263.5
kiusa,830.5
kiva,536.7777777777778
kivinje singino,40.714285714285715
kiwalala,27.0
kiwangwa,137.52631578947367
kiwere,1381.774193548387
kiwira,1711.0
kiyowela,1286.5
kizara,458.1333333333333
kizengi,1233.0
kizumbi,44.47230028101165
kolandoto,44.47230028101165
kolero,421.6190476190476
kolo,1120.0
komkonga,352.3
komuge,1198.6923076923076
kongolo,141.93068987749845
kongwa urban,1120.0
korogwe,439.6529126213592
koromije,141.93068987749842
korongoni,808.0
koryo,1244.0
kukirango,1249.423076923077
kulimi,44.47230028101167
kumsenga,1243.2285714285715
kunduchi,58.666666666666664
kurua vunjo mashariki,1296.8181818181818
kurui,139.6875
kwadelo,1120.0
kwafungo,205.23076923076923
kwagunda,291.125
kwai,1663.0
kwakoa,796.4067796610169
kwala,50.916666666666664
kwale,538.6325088339224
kwaluguru,549.0
kwamatuku,337.57142857142856
kwamkonje,567.3333333333334
kwamndolwa,439.6529126213591
kwamsisi,181.125
kwamtoro,1120.0
kwasunga,283.5
kwediboma,538.6325088339222
kwedizinga,307.0
kyaka,1240.0
kyambahi,1529.3103448275863
kyamuraile,1240.0
kyang'ombe,1172.1363636363637
kyanyari,1258.357142857143
kyebitembe,1240.0
kyela urban,1711.0
kyengege,1480.9333333333334
kyerwa,1240.0
kyimo,1711.0
laela,1543.142857142857
lagana,44.47230028101165
lagangabilili,1103.4340231120668
laghanga,1592.0
lake jipe,683.7692307692307
lalago,44.47230028101166
lalta,1120.0
lamaiti,1120.0
langali,1077.25
langiro,1496.1666666666667
legezamwendo,1481.904761904762
leguruki,1411.2164948453608
lemara,1271.25
lemasule,350.125
lembeni,955.9894736842106
lengatei,1357.8260869565217
levolosi,1411.0
ligera,765.6190476190476
ligoma,475.0
ligunga,608.25
lihimalyo,-4.2
likawage,114.15789473684211
likokona,368.27272727272725
likombe,-30.14814814814815
likunja,333.0
lilambo,999.65625
linda,1263.0
lingeka,44.47230028101166
lionja,245.04761904761904
lipingo,475.4782608695652
lipumburu,328.0
litembo,1662.0666666666666
litisha,959.3846153846154
lituhi,487.6296296296296
litumbandyosi,887.0
liuli,482.8727272727273
liwale a,469.8333333333333
liwale b,383.1818181818182
lizaboni,1057.3333333333333
loibor siret,1303.7058823529412
loibor soit,617.8888888888889
lolkisale,1374.1
longido,1358.8823529411766
longuo,952.4285714285714
loya,1233.0
luagala,335.3
luana,1361.9705882352941
lubanga,141.93068987749845
lubiga,44.472300281011634
lubiri,141.9306898774984
lubugo,141.93068987749845
luchelegwa,269.5925925925926
luchili,871.48
luchingu,527.0714285714286
ludende,1667.0625
ludewa,1376.923076923077
luduga,1489.4107142857142
luegu,951.9594594594595
lufilyo,1711.0
lufingo,1711.0
lugarawa,1472.095238095238
lugata,141.93068987749842
lugoba,231.31578947368422
lugulu,188.24214103653344
lugunga,44.47230028101165
luhundwa,1120.0
luhunga,1921.76
luilo,809.3333333333334
lukande,344.9230769230769
lukanga,7.75
lukokoda,306.8
lukulendi,384.5438596491228
lukumbule,337.90909090909093
lulindi,368.4655172413793
lumbiji,1033.673469387755
lumemo,264.1011235955056
lumuli,1748.6
lumuma,568.6720492118418
lundi,356.75
lunguya,44.47230028101163
lunguza,390.375
lupa tingatinga,1711.0
lupalilo,2051.2982456140353
lupanga,1717.4545454545455
lupata,1711.0
lupembe,1580.987951807229
lupila,1853.445945945946
lupiro,297.02564102564105
luponde,1938.5675675675675
lusahunga,1240.0
lusanga,190.25
lusewa,710.7924528301887
lushoto,1499.9545454545455
lusu,1233.0
lusungo,1711.0
luswisi,1711.0
lutale,141.93068987749845
lutebe,1711.0
lutende,1233.0
lutindi,1085.5
luwalaje,1711.0
lwamgasa,141.9306898774984
lwangwa,1711.0
lyabukande,44.47230028101165
lyenje,288.8
lyoma,141.93068987749845
mabama,1233.0
mabamba,1257.9298245614036
mabawe,1240.0
mabira,1240.0
maboga,1707.88
mabogini,727.0
mabokweni,77.76
mabwerebwere,462.078431372549
machame kaskazini,1329.25
machame kusini,859.768115942029
machame magharibi,1600.2380952380952
machame mashariki,1302.864406779661
machame uroki,1301.8026315789473
machimboni,1092.5
machinjioni,818.0
machochwe,1537.52
madanga,46.96153846153846
madibira,1711.0
madilu,1973.5
madimba,-10.142857142857142
madope,2076.4166666666665
madunga,2075.9583333333335
mafinga,1882.16
mafinzi,51.25
mafyeko,1711.0
magagura,915.9770114942529
magamba,1136.909090909091
magara,985.5526315789474
magata/karutanga,1240.0
magawa,5.733882030178326
magazini,577.2222222222222
magengati,1233.0
magengeni,-12.571428571428571
maghang,1772.625
maghojea,1620.774193548387
magila,179.64705882352942
magindu,142.5
magiri,1233.0
magole,474.53473491773326
magoma,357.3673469387755
magomeni,-15.951385459533608
magoroto,610.0
magu urban,141.93068987749845
magubike,474.5347349177333
magugu,1006.875
magulilwa,1632.3225806451612
maguu,1493.25
mahanje,1016.8490566037735
mahege,35.918188458729
mahembe,990.019801980198
mahenge,571.448275862069
mahida holili,1299.8918918918919
mahongole,1534.9071784714163
mahuninga,1020.1379310344828
mahurunga,-21.641025641025642
mahuta,425.85714285714283
mailimoja,94.23529411764706
majeleko,1120.0
majengo,591.7333333333333
maji ya chai,1248.5157894736842
majiri,838.6923076923077
makambako,1602.047619047619
makame,1066.9285714285713
makanda,425.3801652892562
makang'wa,1120.0
makanjiro,286.5
makanya,705.46
makata,553.6923076923077
makiba,916.5714285714286
makiidi,1485.8235294117646
makojo,1171.4
makongorosi,1711.0
makonona,250.07692307692307
makorongo,1120.0
makote,499.2
makukwe,465.7
makuro,1597.128205128205
makuru,1255.9166666666667
makurugusi,1240.0
makutopora,1120.0
makuyuni,780.1415094339623
makwale,1711.0
malambo,1274.3636363636363
malampaka,44.472300281011655
malangali,1444.1914387633772
malatu,534.4285714285714
malenga makali,994.275
malibwi,1443.8333333333333
maligisu,141.93068987749845
malili,141.93068987749845
malindi,1756.8640776699028
malinyi,292.1388888888889
malolo,317.4794599253088
malunga,44.472300281011634
malya,141.93068987749845
mamba,1106.0955555555556
mamba kaskazini,1525.52
mamba kusini,1265.7317073170732
mambali,1233.0
mamboya,474.53473491773326
mambwekenya,1621.6
mambwenkoswe,1625.909090909091
mamire,1233.5304347826086
mamsera,975.21875
manchali,1120.0
manchira,1567.2222222222222
manda,484.922711058264
mandarawe,378.44444444444446
mandawa,230.56410256410257
mandewa,1479.3142857142857
maneromango,340.5
mang'ola,1038.9565217391305
mang'onyi,1311.5625
mang'oto,2330.7704918032787
mang'ula,263.989010989011
manga,1246.6666666666667
mangirikiti,459.9
mantare,141.93068987749842
manwanga,267.0
manyondwe,1240.0
manyoni,1284.5875
manza,538.6325088339223
manzase,1120.0
maore,530.9545454545455
mapogoro,1711.0
maposeni,991.5846153846154
maputi,490.22727272727275
maramba,538.6325088339219
marambo,399.5238095238095
marangu magharibi,1606.25
marangu mashariki,1430.9019607843138
maratani,339.53333333333336
maretadu,1735.6571428571428
maroroni,998.0
marui,107.0
maruku,1240.0
marumba,680.2727272727273
marumbo,306.92
marungu,49.5
masaba,1382.5217391304348
masagalu,538.6325088339223
masagati,488.57142857142856
masaki,236.14285714285714
masakta,1622.9375
masama kusini,1019.6046511627907
masama magharibi,1425.7758620689656
masama mashariki,1275.0841121495328
masama rundugai,869.1621621621622
masanga,44.47230028101164
masange,1120.0
masanze,543.2727272727273
masasi,704.6666666666666
masela,44.472300281011655
mashewa,367.6363636363636
masieda,1501.875
maskati,773.0
masoko,-28.470588235294116
masqaroda,1553.1875
massa,1120.0
masuguru,181.8
masukulu,1711.0
masumbwe,44.47230028101166
matai,1702.6041666666667
matamba,2110.2
matanga,1819.1666666666667
matarawe,1034.0
matare,1572.5714285714287
matekwe,430.14285714285717
matema,1711.0
matemanga,668.1428571428571
matendo,1023.6117647058824
mateves,1358.6818181818182
matimba,68.72727272727273
matimira,860.4590163934427
matiri,1256.578947368421
matogoro,1180.8076923076924
matola,2108.6275862068965
matomondo,1120.0
matongo,1286.6666666666667
matui,1255.75
matwiga,1711.0
maundo,227.1818181818182
mavanga,1099.439024390244
mawengi,1690.877192982456
maweni,801.6666666666666
mawenzi,824.0
mawindi,1711.0
mayanga,70.31037649219466
mazae,1120.0
mazimbu,535.0
mazinde,559.32
mazingara,461.3076923076923
mazwi,1813.2307692307693
mbabala,1120.0
mbaha,553.6
mbalamaziwa,1673.54
mbalawala,1120.0
mbamba bay,470.9310344827586
mbangala,1711.0
mbangamao,1181.047619047619
mbanja,-9.12396694214876
mbaramo,1158.103448275862
mbarika,141.93068987749842
mbaya,365.375
mbebe,1711.0
mbede,911.0
mbekenyera,268.34615384615387
mbelekese,1413.2608695652175
mbesa,519.6086956521739
mbezi,29.69099276791584
mbinga urban,1298.2075471698113
mbingu,284.53846153846155
mbita,188.24214103653358
mbogwe,233.55625250903242
mbokomu,1085.875
mbondo,336.22222222222223
mbuga,275.4923456790122
mbugani,1696.0625
mbuguni,922.8095238095239
mbuji,1651.1666666666667
mbulu urban,1746.0
mbulumbulu,1662.8255813953488
mbutu,1233.0
mbuyuni,341.9328000000001
mbuzii,1278.2666666666667
mbwara,72.75
mbweni,-14.666666666666666
mbwewe,327.625
mcharo,1255.404761904762
mchauru,229.625
mchemo,574.6470588235294
mchesi,369.2916666666667
mchinga,3.0454545454545454
mcholi ii,439.3333333333333
mchombe,285.8695652173913
